"V1","V2","V3","V4"
0.993259966373444,0.129527226090431,0.00264723040163517,2.99328831943058e-07
0.685475826263428,0.146771058440208,0.143088907003403,0.0470861569046974
0.996263325214386,0.112176507711411,0.00176577281672508,1.95113514678269e-07
0.740444660186768,0.160221323370934,0.153028130531311,0.0264577716588974
0.828831136226654,0.149702131748199,0.128995567560196,0.0221774596720934
0.835846602916718,0.138727709650993,0.11941284686327,0.0259052906185389
0.721470296382904,0.15048836171627,0.146895468235016,0.033560186624527
0.699602425098419,0.186614394187927,0.181576997041702,0.0160958282649517
0.747884690761566,0.138892933726311,0.130106881260872,0.0417190603911877
0.873957335948944,0.288290858268738,0.0164899546653032,1.01123180229479e-06
0.983117640018463,0.181576982140541,0.00455685565248132,3.32518908408019e-07
0.789393126964569,0.140940874814987,0.126108199357986,0.0342271067202091
0.712559759616852,0.134481891989708,0.121245466172695,0.0603750310838223
0.848471164703369,0.135829731822014,0.115479044616222,0.0252189058810472
0.998056828975677,0.0849394127726555,0.00131786055862904,2.24033939844048e-07
0.720200002193451,0.195452407002449,0.183991104364395,0.0119948219507933
0.674897313117981,0.151699662208557,0.151198491454124,0.0416195578873158
0.961019039154053,0.183746680617332,0.00821511074900627,1.09850998342154e-06
0.777205169200897,0.133358180522919,0.11466708034277,0.0459607616066933
0.757153332233429,0.163999453186989,0.154759183526039,0.0203184429556131
0.807224690914154,0.142605915665627,0.127095848321915,0.0278405491262674
0.931601405143738,0.236450031399727,0.0110216084867716,8.90992339463992e-07
0.813624858856201,0.149682953953743,0.13092714548111,0.0243967566639185
0.724974572658539,0.130912587046623,0.111766904592514,0.0622222982347012
0.74703985452652,0.126309484243393,0.113796450197697,0.0574327930808067
0.828402459621429,0.141093745827675,0.123456448316574,0.0250861793756485
0.73520165681839,0.174470752477646,0.166030690073967,0.0185902640223503
0.782980561256409,0.146951466798782,0.134469121694565,0.0289114825427532
0.382294028997421,0.406561404466629,0.0737918540835381,5.56561280973256e-06
0.675139665603638,0.146280601620674,0.141453668475151,0.0513743422925472
0.866853356361389,0.135223999619484,0.11055151373148,0.023009130731225
0.449552595615387,0.425769776105881,0.0603719167411327,3.17665853799554e-06
0.628829300403595,0.133402794599533,0.12562258541584,0.0834228470921516
0.49544084072113,0.411959916353226,0.0552585907280445,2.89323656943452e-06
0.64885002374649,0.383622854948044,0.0378753766417503,1.78782920556841e-06
0.741267442703247,0.149307116866112,0.144656866788864,0.0299164187163115
