"","x"
"1",0.56321656703949
"2",0.482251882553101
"3",0.87618625164032
"4",0.457726091146469
"5",0.376614987850189
"6",0.782366156578064
"7",0.290150374174118
"8",0.340770602226257
"9",0.402493923902512
"10",0.517977714538574
"11",0.334818512201309
"12",0.149878814816475
"13",0.407774269580841
"14",0.167728900909424
"15",0.138769835233688
"16",0.189575999975204
"17",0.463415950536728
"18",0.645203173160553
"19",0.120711654424667
"20",0.577090322971344
"21",0.529242753982544
"22",0.906317114830017
"23",0.347335875034332
"24",0.197977721691132
"25",0.250590920448303
"26",0.64591383934021
"27",0.530386865139008
"28",0.599123775959015
"29",0.344349205493927
"30",0.411301702260971
"31",0.639913558959961
"32",0.555154204368591
"33",0.493671447038651
"34",0.734084367752075
"35",0.248565539717674
"36",0.5195432305336
"37",0.198008239269257
"38",0.0914933010935783
"39",0.622279584407806
"40",0.669616878032684
"41",0.40582463145256
"42",0.485181838274002
"43",0.367482960224152
"44",0.333917021751404
"45",0.110993713140488
"46",0.439912229776382
"47",0.678412735462189
"48",0.217662498354912
"49",0.750500857830048
"50",0.653110265731812
"51",0.563842952251434
"52",0.447895646095276
"53",0.282883316278458
"54",0.798866331577301
"55",0.351079612970352
"56",0.525553107261658
"57",0.414960116147995
"58",0.729470670223236
"59",0.4649718105793
"60",0.667079031467438
"61",0.126940622925758
"62",0.58848512172699
"63",0.14150682091713
"64",0.321160793304443
"65",0.246071636676788
"66",0.287836253643036
"67",0.369735449552536
"68",0.16855064034462
"69",0.372438371181488
"70",0.0949217155575752
"71",0.40330782532692
"72",0.286119699478149
"73",0.459687143564224
"74",0.711557507514954
"75",0.364410877227783
"76",0.502349674701691
"77",0.859185039997101
"78",0.139467284083366
"79",0.371957242488861
"80",0.389804005622864
"81",0.534039616584778
"82",0.526706218719482
"83",0.138085931539536
"84",0.355333477258682
"85",0.33145135641098
"86",0.449685513973236
"87",0.321835577487946
"88",0.526516377925873
"89",0.393326669931412
"90",0.447087973356247
"91",0.27506148815155
"92",0.680080652236938
"93",0.362329244613647
"94",0.310154259204865
"95",0.595626354217529
"96",0.157353758811951
"97",0.53104043006897
"98",0.351536631584167
"99",0.154295474290848
"100",0.177478283643723
"101",0.46766671538353
"102",0.787790775299072
"103",0.5938680768013
"104",0.475820809602737
"105",0.489437699317932
"106",0.156353697180748
"107",0.45346274971962
"108",0.363470822572708
"109",0.289567023515701
"110",0.408696442842484
"111",0.708476066589355
"112",0.0650065243244171
"113",0.152409896254539
"114",0.147451788187027
"115",0.232781201601028
"116",0.399075090885162
"117",0.339144706726074
"118",0.643307149410248
"119",0.399075090885162
"120",0.831253826618195
"121",0.444628953933716
"122",0.430908709764481
"123",0.188137546181679
"124",0.466442257165909
"125",0.645536780357361
"126",0.540910720825195
"127",0.775208175182343
"128",0.498437911272049
"129",0.556459724903107
"130",0.350674211978912
"131",0.782713711261749
"132",0.586969494819641
"133",0.25572407245636
"134",0.33244600892067
"135",0.456364244222641
"136",0.439426571130753
"137",0.526706218719482
"138",0.364706844091415
"139",0.14127279818058
"140",0.604534566402435
"141",0.224227353930473
"142",0.340557068586349
"143",0.388852775096893
"144",0.385385513305664
"145",0.358091622591019
"146",0.471225589513779
"147",0.750500857830048
"148",0.466556757688522
"149",0.164866596460342
"150",0.319333016872406
"151",0.404088020324707
"152",0.800686419010162
"153",0.257135510444641
"154",0.497606098651886
