"","x"
"1",0.513740122318268
"2",0.589218497276306
"3",0.851184129714966
"4",0.450770258903503
"5",0.351258814334869
"6",0.792725324630737
"7",0.263539612293243
"8",0.363214939832687
"9",0.411491990089417
"10",0.549825966358185
"11",0.324668407440186
"12",0.138695999979973
"13",0.378502756357193
"14",0.166147351264954
"15",0.163308411836624
"16",0.189535915851593
"17",0.481485962867737
"18",0.615030348300934
"19",0.144631296396255
"20",0.558251857757568
"21",0.497981876134872
"22",0.876445591449738
"23",0.345067620277405
"24",0.177125349640846
"25",0.271675676107407
"26",0.620015263557434
"27",0.510511994361877
"28",0.533225774765015
"29",0.375354826450348
"30",0.390165060758591
"31",0.628178715705872
"32",0.491721302270889
"33",0.482004374265671
"34",0.710386157035828
"35",0.319094479084015
"36",0.544780969619751
"37",0.187935382127762
"38",0.0935004502534866
"39",0.711286842823029
"40",0.69089937210083
"41",0.384798347949982
"42",0.471442073583603
"43",0.365743100643158
"44",0.322418659925461
"45",0.0731566995382309
"46",0.380802065134048
"47",0.636894226074219
"48",0.201144114136696
"49",0.814822196960449
"50",0.647347092628479
"51",0.516076028347015
"52",0.433758616447449
"53",0.307032734155655
"54",0.757375001907349
"55",0.362535625696182
"56",0.514412522315979
"57",0.394863784313202
"58",0.71809709072113
"59",0.447082877159119
"60",0.689229965209961
"61",0.116107299923897
"62",0.56751549243927
"63",0.124155908823013
"64",0.301769644021988
"65",0.256652593612671
"66",0.293375909328461
"67",0.351589798927307
"68",0.154087364673615
"69",0.421420693397522
"70",0.0911053195595741
"71",0.390811622142792
"72",0.34075340628624
"73",0.466556966304779
"74",0.733708798885345
"75",0.362364798784256
"76",0.533860862255096
"77",0.874027371406555
"78",0.153351709246635
"79",0.366139113903046
"80",0.388716369867325
"81",0.535907387733459
"82",0.543879330158234
"83",0.159475043416023
"84",0.350894153118134
"85",0.34175905585289
"86",0.419364124536514
"87",0.321688860654831
"88",0.497697919607162
"89",0.415169239044189
"90",0.421879082918167
"91",0.28694275021553
"92",0.708207130432129
"93",0.363256871700287
"94",0.289613425731659
"95",0.526181042194366
"96",0.152899473905563
"97",0.482743889093399
"98",0.309549987316132
"99",0.165958344936371
"100",0.15879862010479
"101",0.408483684062958
"102",0.783819258213043
"103",0.584186732769012
"104",0.495085775852203
"105",0.652059614658356
"106",0.145970270037651
"107",0.447888851165771
"108",0.356927573680878
"109",0.317253440618515
"110",0.377419143915176
"111",0.663690388202667
"112",0.0644273683428764
"113",0.13400687277317
"114",0.143702700734138
"115",0.237074568867683
"116",0.424175530672073
"117",0.421555697917938
"118",0.688279986381531
"119",0.424175530672073
"120",0.735836267471313
"121",0.416252940893173
"122",0.418595731258392
"123",0.186030760407448
"124",0.515353620052338
"125",0.687118649482727
"126",0.594038248062134
"127",0.751821637153625
"128",0.52837735414505
"129",0.558645248413086
"130",0.3494513630867
"131",0.846764266490936
"132",0.496571958065033
"133",0.260872900485992
"134",0.359588116407394
"135",0.437847942113876
"136",0.44230180978775
"137",0.543879330158234
"138",0.337188273668289
"139",0.130470529198647
"140",0.622653841972351
"141",0.229574590921402
"142",0.32498237490654
"143",0.381451189517975
"144",0.433227598667145
"145",0.280026733875275
"146",0.465874075889587
"147",0.814822196960449
"148",0.449129849672318
"149",0.194407150149345
"150",0.303130149841309
"151",0.41999414563179
"152",0.734508991241455
"153",0.274755507707596
"154",0.449377328157425
