"","x"
"1",0.459589093923569
"2",0.223213493824005
"3",0.589300692081451
"4",0.421860367059708
"5",0.198533192276955
"6",0.255670994520187
"7",0.312476545572281
"8",0.424171715974808
"9",0.580287873744965
"10",0.24342605471611
"11",0.655712246894836
"12",0.4422447681427
"13",0.481018155813217
"14",0.663238644599915
"15",0.540403544902802
"16",0.718390882015228
"17",0.554658949375153
"18",0.885145127773285
"19",0.572779536247253
"20",0.54715222120285
"21",0.440344423055649
"22",0.377164155244827
"23",0.626454174518585
"24",0.748956382274628
"25",0.290987819433212
"26",0.648462772369385
"27",0.457461595535278
"28",0.546102464199066
"29",0.176415473222733
"30",0.834697782993317
"31",0.297436684370041
"32",0.492577105760574
"33",0.344834417104721
"34",0.475689560174942
"35",0.258791655302048
"36",0.37011730670929
"37",0.358290165662766
"38",0.37115690112114
"39",0.104600876569748
"40",0.405363589525223
"41",0.453737318515778
"42",0.36332169175148
"43",0.161931172013283
"44",0.157525405287743
"45",0.53079092502594
"46",0.67337030172348
"47",0.434241652488708
"48",0.298817783594131
"49",0.779452443122864
"50",0.622608602046967
"51",0.606809735298157
"52",0.415784686803818
"53",0.574399948120117
"54",0.407093316316605
"55",0.262007415294647
"56",0.403191059827805
"57",0.178159013390541
"58",0.395423054695129
"59",0.199379101395607
"60",0.297645777463913
"61",0.291167736053467
"62",0.466381311416626
"63",0.318954974412918
"64",0.531407594680786
"65",0.622937142848969
"66",0.519207060337067
"67",0.891180396080017
"68",0.356888502836227
"69",0.479857414960861
"70",0.433706313371658
"71",0.287838399410248
"72",0.885145127773285
"73",0.283332914113998
"74",0.171608090400696
"75",0.766406118869781
"76",0.393359899520874
"77",0.58472603559494
"78",0.738964259624481
"79",0.736772477626801
"80",0.234592840075493
"81",0.501886665821075
"82",0.196126788854599
"83",0.424132168292999
"84",0.367485523223877
"85",0.419346660375595
"86",0.269842594861984
"87",0.425411701202393
"88",0.462935745716095
"89",0.378248512744904
"90",0.860232651233673
"91",0.704425752162933
"92",0.34635928273201
"93",0.447143465280533
"94",0.192251309752464
"95",0.711473345756531
"96",0.544844746589661
"97",0.341486245393753
"98",0.585830807685852
"99",0.341899275779724
"100",0.314502507448196
"101",0.790760636329651
"102",0.277611076831818
"103",0.291433036327362
"104",0.561503529548645
"105",0.550450921058655
"106",0.389016568660736
"107",0.508809566497803
"108",0.428880602121353
"109",0.381812214851379
"110",0.574399948120117
"111",0.161407694220543
"112",0.450246334075928
"113",0.52305942773819
"114",0.176243662834167
"115",0.212615773081779
"116",0.486127078533173
"117",0.720999419689178
"118",0.489975273609161
"119",0.219583705067635
"120",0.682934463024139
"121",0.152661457657814
"122",0.389426082372665
"123",0.540403544902802
"124",0.483749061822891
"125",0.485475480556488
"126",0.36894890666008
"127",0.289714485406876
"128",0.141304925084114
"129",0.125322863459587
"130",0.608048617839813
"131",0.314456343650818
"132",0.176041051745415
"133",0.30872631072998
"134",0.626444697380066
"135",0.194282129406929
"136",0.17389976978302
"137",0.435826331377029
"138",0.585005521774292
"139",0.727394342422485
"140",0.292561382055283
"141",0.0927227512001991
"142",0.515037775039673
"143",0.121437385678291
"144",0.718053579330444
"145",0.676498353481293
"146",0.859090149402618
"147",0.104868158698082
"148",0.707577049732208
"149",0.222490981221199
"150",0.496502548456192
"151",0.191192120313644
"152",0.328332155942917
"153",0.586876392364502
"154",0.766570389270782
"155",0.559342622756958
